SampleID,SampleName,SampleNo,SampleType,LibraryType,Year,TubeName,Seedlot,OriginalNo,RepNo,Variety,Plot,SoilType,M_52,M_52_method2
11.169.1.O.16S_000000000.J99GR,11_169_1_O_16S,W11,eye,16S,2018-2019,169-O-1,169,249,1,C,C_169,Sand,1448.513089,1.968028584
29.169.3.O.16S_000000000.J99GR,29_169_3_O_16S,W29,eye,16S,2018-2019,169-O-3,169,249,3,C,C_169,Sand,1448.513089,1.968028584
41.169.4.O.16S_000000000.J99GR,41_169_4_O_16S,W41,eye,16S,2018-2019,169-O-4,169,249,4,C,C_169,Sand,1448.513089,1.968028584
52.169.2.O.16S_000000000.JCCFG,52-169-2-O-16S,X52,eye,16S,2018-2019,169-O-2,169,249,2,C,C_169,Sand,1448.513089,1.968028584
S15.178.O.2.16S_000000000.J59B3,15-178-O-2-16S,15,eye,16S,2018-2019,178-O-2,178,258,2,C,C_178,Clay,685.5007509,-1.709695532
S69.178.O.4.16S_000000000.J53BN,69-178-O-4-16S,69,eye,16S,2018-2019,178-O-4,178,258,4,C,C_178,Clay,685.5007509,-1.709695532
S90.178.O.1.16S_000000000.J53BN,90-178-O-1-16S,90,eye,16S,2018-2019,178-O-1,178,258,1,C,C_178,Clay,685.5007509,-1.709695532
S127.178.O.3.16S_000000000.J58CV,127-178-O-3-16S,127,eye,16S,2018-2019,178-O-3,178,258,3,C,C_178,Clay,685.5007509,-1.709695532
S87.157.O.1.16S_000000000.J53BN,87-157-O-1-16S,87,eye,16S,2018-2019,179-O-1,179,259,1,C,C_179,Clay,661.485916,-1.825447183
S148.157.O.4.16S_000000000.J52V7,148-157-O-4-16S,148,eye,16S,2018-2019,179-O-4,179,259,4,C,C_179,Clay,661.485916,-1.825447183
S156.157.O.3.16S_000000000.J52V7,156-157-O-3-16S,156,eye,16S,2018-2019,179-O-3,179,259,3,C,C_179,Clay,661.485916,-1.825447183
S191.157.O.2.16S_000000000.J52V7,191-157-O-2-16S,191,eye,16S,2018-2019,179-O-2,179,259,2,C,C_179,Clay,661.485916,-1.825447183
S9.180.O.1.16S_000000000.J59B3,9-180-O-1-16S,9,eye,16S,2018-2019,180-O-1,180,260,1,C,C_180,Sand,867.1431889,-0.834177875
S84.180.O.4.16S_000000000.J53BN,84-180-O-4-16S,84,eye,16S,2018-2019,180-O-4,180,260,4,C,C_180,Sand,867.1431889,-0.834177875
S135.180.O.2.16S_000000000.J58CV,135-180-O-2-16S,135,eye,16S,2018-2019,180-O-2,180,260,2,C,C_180,Sand,867.1431889,-0.834177875
S34.63.O.4.16S_000000000.J59B3,34-63-O-4-16S,34,eye,16S,2018-2019,63-O-4,63,63,4,D,D_63,Clay,1015.774864,-1.039131465
S57.63.O.2.16S_000000000.J53BN,57-63-O-2-16S,57,eye,16S,2018-2019,63-O-2,63,63,2,D,D_63,Clay,1015.774864,-1.039131465
S76.63.O.1.16S_000000000.J53BN,76-63-O-1-16S,76,eye,16S,2018-2019,63-O-1,63,63,1,D,D_63,Clay,1015.774864,-1.039131465
24.63.3.O.16S_000000000.J99GR,24_63_3_O_16S,W24,eye,16S,2018-2019,63-O-3,63,63,3,D,D_63,Clay,1015.774864,-1.039131465
S136.65.O.3.16S_000000000.J58CV,136-65-O-3-16S,136,eye,16S,2018-2019,65-O-3,65,65,3,D,D_65,Clay,890.9095923,-2.079345609
S144.65.O.2.16S_000000000.J58CV,144-65-O-2-16S,144,eye,16S,2018-2019,65-O-2,65,65,2,D,D_65,Clay,890.9095923,-2.079345609
S147.65.O.4.16S_000000000.J52V7,147-65-O-4-16S,147,eye,16S,2018-2019,65-O-4,65,65,4,D,D_65,Clay,890.9095923,-2.079345609
S155.65.O.1.16S_000000000.J52V7,155-65-O-1-16S,155,eye,16S,2018-2019,65-O-1,65,65,1,D,D_65,Clay,890.9095923,-2.079345609
S107.75.O.3.16S_000000000.J58CV,107-75-O-3-16S,107,eye,16S,2018-2019,75-O-3,75,75,3,D,D_75,Clay,1186.267223,0.381187902
S179.75.O.4.16S_000000000.J52V7,179-75-O-4-16S,179,eye,16S,2018-2019,75-O-4,75,75,4,D,D_75,Clay,1186.267223,0.381187902
S186.75.O.1.16S_000000000.J52V7,186-75-O-1-16S,186,eye,16S,2018-2019,75-O-1,75,75,1,D,D_75,Clay,1186.267223,0.381187902
17.75.2.O.16S_000000000.J99GR,17_75_2_O_16S,W17,eye,16S,2018-2019,75-O-2,75,75,2,D,D_75,Clay,1186.267223,0.381187902
S35.76.O.1.16S_000000000.J59B3,35-76-O-1-16S,35,eye,16S,2018-2019,76-O-1,76,76,1,D,D_76,Clay,1239.487417,0.82454896
S102.76.O.4.16S_000000000.J58CV,102-76-O-4-16S,102,eye,16S,2018-2019,76-O-4,76,76,4,D,D_76,Clay,1239.487417,0.82454896
S104.76.O.3.16S_000000000.J58CV,104-76-O-3-16S,104,eye,16S,2018-2019,76-O-3,76,76,3,D,D_76,Clay,1239.487417,0.82454896
S106.76.O.2.16S_000000000.J58CV,106-76-O-2-16S,106,eye,16S,2018-2019,76-O-2,76,76,2,D,D_76,Clay,1239.487417,0.82454896
S2.77.O.2.16S_000000000.J59B3,2-77-O-2-16S,2,eye,16S,2018-2019,77-O-2,77,77,2,D,D_77,Clay,1357.248558,1.805580785
S8.77.O.1.16S_000000000.J59B3,8-77-O-1-16S,8,eye,16S,2018-2019,77-O-1,77,77,1,D,D_77,Clay,1357.248558,1.805580785
S71.77.O.4.16S_000000000.J53BN,71-77-O-4-16S,71,eye,16S,2018-2019,77-O-4,77,77,4,D,D_77,Clay,1357.248558,1.805580785
S177.77.O.3.16S_000000000.J52V7,177-77-O-3-16S,177,eye,16S,2018-2019,77-O-3,77,77,3,D,D_77,Clay,1357.248558,1.805580785
S80.76.O.1.16S_000000000.J53BN,80-76-O-1-16S,80,eye,16S,2018-2019,79-O-1,79,79,1,D,D_79,Clay,1097.611556,-0.357375167
S126.76.O.3.16S_000000000.J58CV,126-76-O-3-16S,126,eye,16S,2018-2019,79-O-4,79,79,4,D,D_79,Clay,1097.611556,-0.357375167
S132.76.O.4.16S_000000000.J58CV,132-76-O-4-16S,132,eye,16S,2018-2019,79-O-3,79,79,3,D,D_79,Clay,1097.611556,-0.357375167
S151.76.O.2.16S_000000000.J52V7,151-76-O-2-16S,151,eye,16S,2018-2019,79-O-2,79,79,2,D,D_79,Clay,1097.611556,-0.357375167
S16.80.O.4.16S_000000000.J59B3,16-80-O-4-16S,16,eye,16S,2018-2019,80-O-4,80,80,4,D,D_80,Clay,1152.538953,0.100208072
S49.80.O.2.16S_000000000.J53BN,49-80-O-2-16S,49,eye,16S,2018-2019,80-O-2,80,80,2,D,D_80,Clay,1152.538953,0.100208072
S88.80.O.3.16S_000000000.J53BN,88-80-O-3-16S,88,eye,16S,2018-2019,80-O-3,80,80,3,D,D_80,Clay,1152.538953,0.100208072
S110.80.O.1.16S_000000000.J58CV,110-80-O-1-16S,110,eye,16S,2018-2019,80-O-1,80,80,1,D,D_80,Clay,1152.538953,0.100208072
S20.86.O.3.16S_000000000.J59B3,20-86-O-3-16S,20,eye,16S,2018-2019,86-O-3,86,86,3,D,D_86,Clay,1329.347051,1.573141918
S93.86.O.4.16S_000000000.J53BN,93-86-O-4-16S,93,eye,16S,2018-2019,86-O-4,86,86,4,D,D_86,Clay,1329.347051,1.573141918
S139.86.O.1.16S_000000000.J58CV,139-86-O-1-16S,139,eye,16S,2018-2019,86-O-1,86,86,1,D,D_86,Clay,1329.347051,1.573141918
28.86.2.O.16S_000000000.J99GR,28_86_2_O_16S,W28,eye,16S,2018-2019,86-O-2,86,86,2,D,D_86,Clay,1329.347051,1.573141918
S67.88.O.2.16S_000000000.J53BN,67-88-O-2-16S,67,eye,16S,2018-2019,88-O-2,88,88,2,D,D_88,Clay,1354.034032,1.778801556
S152.88.O.3.16S_000000000.J52V7,152-88-O-3-16S,152,eye,16S,2018-2019,88-O-3,88,88,3,D,D_88,Clay,1354.034032,1.778801556
S190.88.O.1.16S_000000000.J52V7,190-88-O-1-16S,190,eye,16S,2018-2019,88-O-1,88,88,1,D,D_88,Clay,1354.034032,1.778801556
